PromptNum,Input,Vibe,Relevancy,Accuracy,TrackCount
1,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,65.0,100.0,5
2,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,10
3,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
4,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,50
5,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,5
6,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,10
7,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,20
8,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
9,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,5
10,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,10
11,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,100.0,100.0,20
12,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,100.0,100.0,50
13,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,75.0,100.0,5
14,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,95.0,100.0,10
15,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,20
16,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
17,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,5
18,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,10
19,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
20,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
21,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,65.0,100.0,5
22,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,10
23,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
24,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,50
25,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,5
26,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,85.0,100.0,10
27,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
28,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,50
29,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,90.0,100.0,5
30,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,10
31,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,80.0,100.0,20
32,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,50
33,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,100.0,100.0,5
34,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,75.0,100.0,10
35,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,20
36,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,50
37,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,65.0,100.0,5
38,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,10
39,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
40,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
41,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,83.0,100.0,5
42,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,10
43,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
44,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,50
45,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,5
46,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,10
47,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,20
48,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,50
49,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,5
50,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,10
51,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,100.0,100.0,20
52,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,90.0,100.0,50
53,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,100.0,100.0,5
54,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,95.0,100.0,10
55,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,20
56,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,50
57,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,90.0,100.0,5
58,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,85.0,100.0,10
59,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,80.0,100.0,20
60,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,50
61,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,5
62,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,10
63,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,20
64,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
65,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,35.0,100.0,5
66,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,85.0,100.0,10
67,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
68,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,70.0,100.0,50
69,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,90.0,100.0,5
70,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,10
71,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,20
72,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
73,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,5
74,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,60.0,100.0,10
75,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,20
76,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,95.0,100.0,50
77,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,95.0,100.0,5
78,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,93.0,100.0,10
79,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,95.0,100.0,20
80,"late night drive through rain-slicked streets, Travis Scott on the radio",chill,50.0,100.0,50
81,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
82,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
83,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
84,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
85,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,90.0,100.0,5
86,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
87,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
88,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
89,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
90,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
91,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
92,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,100.0,7
93,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
94,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
95,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,95.0,100.0,20
96,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
97,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,5
98,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
99,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,20
100,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,83.0,100.0,50
101,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
102,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
103,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
104,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,50
105,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,90.0,100.0,5
106,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
107,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
108,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
109,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,83.0,100.0,5
110,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,100.0,100.0,10
111,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
112,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
113,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
114,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,70.0,100.0,10
115,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,100.0,100.0,20
116,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
117,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,35.0,100.0,5
118,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
119,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
120,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,100.0,100.0,50
121,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,5
122,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
123,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,20
124,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,50
125,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,90.0,100.0,5
126,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,50.0,100.0,10
127,"dil toota hai, 2 baje raat, akela baitha hoon, Aditya Rikhari type",desi,20.0,80.0,7
